product,description,review,rating,price,num_ratings,num_reviews,ram_gb,storage_gb,display_inch,camera_mp,battery_mah,warranty_years
"realme GT NEO 3 (150W) (Asphalt Black, 256 GB)",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 2MP | 16MP Front Camera4500 mAh Lithium Ion BatteryMediatek Dimensity 8100 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,840 Ratings & 90 Reviews,4.3,42999.0,840.0,90.0,12.0,256.0,6.7,50.0,4500.0,1.0
"Google Pixel 8a (Obsidian, 256 GB)",8 GB RAM | 256 GB ROM15.49 cm (6.1 inch) Full HD+ Display64MP + 13MP | 13MP Front Camera4404 mAh BatteryTensor G3 Processor1 Year Domestic Warranty,"3,956 Ratings & 346 Reviews",4.3,44999.0,956.0,346.0,8.0,256.0,6.1,50.0,4404.0,1.0
"vivo V40 5G (Lotus Purple, 512 GB)",12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP | 50MP Front Camera5500 mAh BatterySnapdragon 7 Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"1,088 Ratings & 106 Reviews",4.6,42999.0,88.0,106.0,12.0,512.0,6.78,50.0,5500.0,1.0
"Google Pixel 8 (Hazel, 256 GB)",8 GB RAM | 256 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 12MP | 10.5MP Front Camera4575 mAh BatteryTensor G3 Processor1 Year Domestic Warranty,"17,932 Ratings & 1,405 Reviews",4.4,47999.0,932.0,405.0,8.0,256.0,6.2,50.0,4575.0,1.0
"OnePlus 12R (Cool Blue, 256 GB)",16 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5500 mAh Battery1 Year Brand Warranty,"4,290 Ratings & 269 Reviews",4.5,40229.0,290.0,269.0,16.0,256.0,6.78,50.0,5500.0,1.0
"SAMSUNG Galaxy S23 5G (Phantom Black, 128 GB)",8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera3900 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"36,671 Ratings & 2,486 Reviews",4.6,44999.0,671.0,486.0,8.0,128.0,6.1,50.0,3900.0,1.0
"Xiaomi 14 CIVI (Aqua Blue, 512 GB)",12 GB RAM | 512 GB ROM16.64 cm (6.55 inch) Display50MP Rear Camera | 32MP + 32MP Dual Front Camera4700 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,591 Ratings & 52 Reviews,4.3,44999.0,591.0,52.0,12.0,512.0,6.55,50.0,4700.0,1.0
"SAMSUNG S23 5G (Green, 128 GB)",8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera3900 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"38,891 Ratings & 2,733 Reviews",4.6,44999.0,891.0,733.0,8.0,128.0,6.1,50.0,3900.0,1.0
"vivo X90 (Asteroid Black, 256 GB)",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 12MP + 12MP | 32MP Front Camera4810 mAh BatteryDimensity 9200 Processor1 Year Handset and 6 Months Accessories,"1,072 Ratings & 166 Reviews",4.4,42990.0,72.0,166.0,8.0,256.0,6.78,50.0,4810.0,1.0
"SAMSUNG Galaxy S24 FE 5G (Graphite, 128 GB)",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4700 mAh BatteryExynos 2400e Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,695 Ratings & 59 Reviews,4.5,41919.0,695.0,59.0,8.0,128.0,6.7,50.0,4700.0,1.0
